"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Luanvan\server\src\controllers\authController.js", "JavaScript", 79, 2, 18, 99
"d:\Luanvan\server\src\controllers\candidateController.js", "JavaScript", 18, 1, 3, 22
"d:\Luanvan\server\src\controllers\companyController.js", "JavaScript", 25, 2, 7, 34
"d:\Luanvan\server\src\controllers\jobCategoryController.js", "JavaScript", 19, 2, 2, 23
"d:\Luanvan\server\src\controllers\jobPostController.js", "JavaScript", 125, 3, 28, 156
"d:\Luanvan\server\src\controllers\resumeController.js", "JavaScript", 20, 1, 2, 23
"d:\Luanvan\server\src\controllers\userController.js", "JavaScript", 110, 6, 12, 128
"d:\Luanvan\server\src\models\Application.js", "JavaScript", 23, 1, 3, 27
"d:\Luanvan\server\src\models\Candidate.js", "JavaScript", 31, 3, 5, 39
"d:\Luanvan\server\src\models\Company.js", "JavaScript", 30, 1, 9, 40
"d:\Luanvan\server\src\models\JobCategory.js", "JavaScript", 10, 1, 3, 14
"d:\Luanvan\server\src\models\JobPost.js", "JavaScript", 82, 0, 15, 97
"d:\Luanvan\server\src\models\Rec.js", "JavaScript", 28, 2, 9, 39
"d:\Luanvan\server\src\models\Resume.js", "JavaScript", 31, 1, 9, 41
"d:\Luanvan\server\src\models\User.js", "JavaScript", 19, 1, 3, 23
"d:\Luanvan\server\src\routes\auth.js", "JavaScript", 6, 0, 3, 9
"d:\Luanvan\server\src\routes\candidate.js", "JavaScript", 9, 2, 4, 15
"d:\Luanvan\server\src\routes\company.js", "JavaScript", 7, 1, 6, 14
"d:\Luanvan\server\src\routes\jobCategory.js", "JavaScript", 6, 2, 5, 13
"d:\Luanvan\server\src\routes\jobPost.js", "JavaScript", 17, 0, 11, 28
"d:\Luanvan\server\src\routes\otherRoute.js", "JavaScript", 19, 2, 6, 27
"d:\Luanvan\server\src\routes\resume.js", "JavaScript", 6, 3, 3, 12
"d:\Luanvan\server\src\routes\user.js", "JavaScript", 17, 6, 9, 32
"d:\Luanvan\server\src\utils\TokenUtils.js", "JavaScript", 6, 0, 1, 7
"d:\Luanvan\server\src\utils\agreUtil.js", "JavaScript", 54, 2, 18, 74
"d:\Luanvan\server\src\utils\checkToken.js", "JavaScript", 28, 4, 4, 36
"d:\Luanvan\server\src\utils\cloudinary.js", "JavaScript", 9, 0, 2, 11
"d:\Luanvan\server\src\utils\commonUtil.js", "JavaScript", 7, 0, 1, 8
"d:\Luanvan\server\src\utils\errorUtil.js", "JavaScript", 6, 0, 1, 7
"d:\Luanvan\server\src\utils\queryTool.js", "JavaScript", 38, 0, 10, 48
"d:\Luanvan\server\src\utils\uploadUtil.js", "JavaScript", 14, 0, 1, 15
"Total", "-", 899, 49, 213, 1161
